"Napatie"	"Deformacia"
735.4979	0.003836711
739.6533	0.003846915
745.4816	0.00388773
751.6337	0.003908138
757.6238	0.003959157
762.1569	0.003969366
766.744	0.004010182
770.4137	0.004020385
774.4072	0.004061201
777.6451	0.004061201
781.6385	0.004102016
787.3589	0.004122423
794.3205	0.004183652
799.5552	0.00420406
804.8438	0.004255079
808.8912	0.004265282
813.964	0.004326505
817.7416	0.004336709
822.1128	0.004387734
825.9983	0.004397932
830.5314	0.00445916
834.309	0.004479568
839.004	0.004530587
842.9975	0.004561199
847.3148	0.004622427
851.0923	0.004653039
855.0319	0.004704058
859.3491	0.004744873
863.9902	0.004826503
868.2534	0.004877528
873.9198	0.004969362
881.1512	0.005061196
887.843	0.005214264
892.538	0.005326507
897.5028	0.005479564
900.5249	0.005591812
903.8708	0.005734665
906.4611	0.005846918
909.753	0.005999975
912.1275	0.006122427
915.8511	0.006295891
919.251	0.006479571
923.4063	0.006734672
927.3998	0.007040792
932.0408	0.007448956
935.6025	0.00793875
938.4088	0.00849997
940.6214	0.009061197
943.9672	0.009724463
946.2878	0.01047957
948.6622	0.01136732
951.0367	0.01228569
953.8969	0.01340814
955.8937	0.0145714
958.484	0.01582651
960.6966	0.01708161
963.7726	0.01844896
966.2011	0.0197959
969.8168	0.02127549
972.623	0.02275508
976.1848	0.02432651
979.1528	0.02589794
982.9304	0.02752038
985.8986	0.02916324
989.3524	0.03079589
992.5903	0.03246936
996.0441	0.03416324
999.1741	0.03588773
1002.52	0.03768365
1005.326	0.03945916
1008.726	0.04133671
1011.262	0.04320406
1014.5	0.04518365
1016.875	0.04719385
1019.681	0.04938773
1021.732	0.0515612
1024.16	0.05394896
1025.887	0.05638773
1027.83	0.05888773
1029.233	0.06152038
1030.852	0.06429589
1031.5	0.06722446
1032.687	0.07032651
1032.849	0.07032651
1033.28	0.07372447
1032.687	0.07728569
1032.525	0.08119385
1030.744	0.08540814
1028.909	0.09009181
1025.24	0.09515305
1020.059	0.1003061
