"epsilon"	"sigma"
4.5737678E-006	1.8663692209395
5.5551496E-006	1.9617836811306
6.99718E-006	2.0332802651274
5.4750368E-006	2.1042624876592
3.9328654E-006	2.2166510123408
9.0400564E-006	2.3115511110669
4.493655E-006	2.4223965513535
7.898449E-006	2.5458438475318
-8.939309E-007	2.6263418252389
6.2561366E-006	2.7474744948248
6.496475E-006	2.8652638148885
1.0401974E-005	2.9979696855096
1.11630456E-005	3.1268178451433
1.29255272E-005	3.2363773136943
1.32259502E-005	3.3894005302548
1.31258092E-005	3.5367657707006
8.41918219E-006	3.6540407292994
1.07224252E-005	3.8278957213376
6.1760238E-006	3.9791187408439
4.6138242E-006	4.1303416922771
2.123723E-005	4.2957096520701
1.67308853E-005	4.4675071982484
1.59898419E-005	4.6308177121815
1.44877269E-005	4.8041583427548
1.68510545E-005	4.9993594036624
1.28454144E-005	5.1763005644904
2.4181376E-005	5.3738162519904
1.56293343E-005	5.5829052085987
1.9715087E-005	5.7765631851115
2.1517625E-005	5.9882238809713
1.44877269E-005	6.2189160871815
2.6444562E-005	6.4190035820064
2.7666283E-005	6.6417231855096
2.9669103E-005	6.8631564769108
2.4341601E-005	7.1121091958599
2.6965296E-005	7.3353424800955
2.7986734E-005	7.5806941242038
3.1872205E-005	7.8322179697452
2.7385888E-005	8.0917145541401
2.724569E-005	8.3278075557325
3.3714799E-005	8.601449080414
3.625838E-005	8.843200330414
3.5857816E-005	9.1533617914013
4.1005064E-005	9.4172307205414
3.6699001E-005	9.6991016202229
4.5130873E-005	9.972229191879
4.4770366E-005	10.252042917994
4.4770366E-005	10.573006242038
4.6572904E-005	10.836103220541
4.2687433E-005	11.146521998408
4.6813242E-005	11.474686110669
5.06186E-005	11.775074295382
4.9156541E-005	12.099638013535
5.2260912E-005	12.421629924363
5.1900405E-005	12.759309315287
5.3282351E-005	13.119621699841
5.0698713E-005	13.452414792994
5.340252E-005	13.78495125
5.7328047E-005	14.124173861465
5.7207878E-005	14.494516158439
5.6807314E-005	14.869487436306
6.3957381E-005	15.229541823248
6.041239E-005	15.595254458599
7.2108859E-005	15.994143953025
6.4538199E-005	16.370401134554
7.4932835E-005	16.754631054936
6.8844262E-005	17.171265203025
6.5920145E-005	17.581727830414
7.0466546E-005	17.959013598726
7.6414922E-005	18.377962917994
8.4426202E-005	18.75807781051
8.3865412E-005	19.179341620223
8.1442E-005	19.615779637739
8.5167245E-005	20.027013535032
8.2142987E-005	20.44776339172
8.7991222E-005	20.883943411624
8.8311673E-005	21.337869446656
9.5521825E-005	21.801568757962
9.3278666E-005	22.262696261943
9.7604758E-005	22.730509920382
0.000101209834	23.18366468551
9.5722107E-005	23.635790183121
0.000102772033	24.083286699841
0.00011188486	24.570646230096
0.000108660324	25.029201926752
0.000103993753	25.520676484873
0.000106737617	26.021152368631
0.0001099221	26.510569753185
0.00011254579	26.999987137739
0.00011430828	27.482717687102
0.00011110376	27.997338511146
0.00012003634	28.504243913217
0.00011675172	28.990060903662
0.00012780728	29.500309382962
0.00013071137	30.01775933121
0.00012466286	30.542410748408
0.00013047103	31.072205780255
0.00013345524	31.56959522293
0.00013459684	32.119964713376
0.00013575848	32.637157344745
0.00013886285	33.162322714968
0.00013635932	33.697004044586
0.00014114606	34.254317687102
0.00015726877	34.770481731688
0.0001516809	35.310820628981
0.00015444479	35.820812472134
0.00015875085	36.388413343949
0.0001590713	36.916664474522
0.00015318301	37.471920262739
0.00015444479	38.01277379379
0.00016485945	38.559542890127
0.00016758329	39.096281393312
0.00017769753	39.662339044586
0.00017283068	40.210136727707
0.00017647581	40.776193698248
0.00017427271	41.316533276274
0.00017713674	41.895963917197
0.00017369189	42.467165183121
0.00018184337	43.019077213376
0.00018518808	43.604166102707
0.0001849878	44.139362066083
0.00018965437	44.705933670382
0.00018636974	45.288964705414
0.00019942813	45.865566902866
0.00019680443	46.433167093949
0.00019734519	47.01517022293
0.00020143095	47.596401401274
0.00020483574	48.162715688694
0.00021178553	48.757063220541
0.00021122474	49.329035756369
0.00021008313	49.904608686306
0.00021935619	50.504871783439
0.00021326761	51.086616914809
0.00022280104	51.698453144904
0.00022236042	52.284570621019
0.00022848905	52.885347671178
0.00022656634	53.495126046975
0.0002300913	54.090759482484
0.00023283517	54.689478678344
0.00023930427	55.26710946258
0.00024453163	55.878945011943
0.00023880357	56.505954769108
0.00024755589	57.081527699045
0.00024899792	57.70159330414
0.0002469951	58.334003992834
0.00024551302	58.934266409236
0.0002563683	59.574391839172
0.00025632824	60.162052535828
0.00025841118	60.781861504777
0.00025660864	61.422501568471
0.00026634234	62.018648957006
0.00026299763	62.64925910828
0.00026606195	63.275240278662
0.00026924643	63.881417579618
0.00027707746	64.469592910032
0.00027551526	65.115891222134
0.00028268536	65.714096464968
0.00027879988	66.330047042197
0.00029053641	66.958342022293
0.00028284558	67.551146333599
0.00029434177	68.173527109873
0.00029668507	68.810563375796
0.00029598408	69.391282643312
0.00030045037	70.003635549363
0.00030363485	70.629616719745
0.00030715982	71.250968909236
0.00030703965	71.841198009554
0.00031402949	72.449949840764
0.00030599818	73.07258861465
0.00031218689	73.705513256369
0.00032069888	74.308860071656
0.00032105939	74.915549283439
0.00032324246	75.552592356688
0.00033149408	76.174972452229
0.00033077306	76.785521417197
0.00033509916	77.39375589172
0.00033351693	78.033882683121
0.00033588026	78.643145063694
0.00033626079	79.277097611465
0.0003374024	79.861417953822
0.00034541368	80.519543312102
0.0003459945	81.125463296178
0.00034709605	81.731131409236
0.00036039477	82.34759593949
0.00035815161	82.994148845541
0.00035270394	83.589013734076
0.0003575708	84.22605
0.00036137615	84.853059076433
0.00036265796	85.445092117834
0.00037153045	86.089337340764
0.00036760492	86.708116361465
0.0003718509	87.288318272293
0.00037565626	87.910181011146
0.0003822856	88.52819080414
0.0003905973	89.152626711783
0.00038298658	89.789152428344
0.00038404808	90.449340406051
0.00038777332	91.060148049363
0.00039698629	91.684066600318
0.00039542409	92.310565127389
0.00040035103	92.944258996815
0.00039882889	93.568184355096
0.00040475724	94.195193431529
0.00040972423	94.825034355096
0.00040792169	95.46567169586
0.00041769545	96.081625676752
0.00041523198	96.702460509554
0.00041855667	97.31995294586
0.00041961816	97.967023208599
0.00042558656	98.587858041401
0.00042911153	99.197379100318
0.0004323561	99.831849004777
0.00043926582	100.46889207803
0.00043443903	101.09487324841
0.00043786385	101.7223928742
0.00043718289	102.35171644108
