"Deformácia"	"Napatie"
0.0005972023	100.3653
0.000603878	101.7641
0.0006505699	103.2795
0.0005972023	104.0372
0.0006072063	105.1446
0.0006105537	106.0771
0.0006138821	107.1263
0.0005972023	107.2428
0.0006439037	108.9913
0.0006605739	110.2736
0.0006505699	111.0313
0.0006772441	111.6141
0.0006972522	112.5467
0.000670578	111.9638
0.0006305522	112.0221
0.0006672496	112.197
0.0006305522	112.3135
0.0006338901	111.8473
0.0006572265	112.3718
0.0006905956	112.6633
0.0006605739	112.7798
0.0006905956	113.4209
0.0007072658	113.7124
0.0006605739	113.3044
0.0006672496	113.8872
0.0006639118	114.1204
0.0006672496	114.1786
0.0006205482	113.5958
0.0007005996	114.8198
0.0006839199	115.9855
0.0007139415	117.1511
0.0007239456	118.2585
0.0007506198	119.9488
0.0007105941	120.415
0.0007105941	121.5224
0.0007306118	123.0961
0.0007339401	124.4949
0.0007105941	125.3692
0.0007606334	126.9429
0.0007839794	128.2251
0.0007672996	128.9245
0.0008039875	129.1577
0.000814001	130.0902
0.0007839794	130.2068
0.0007706375	131.081
0.0008006591	131.7805
0.0007706375	132.3633
0.0007706375	132.305
0.0007973213	133.2958
0.0008273334	134.1701
0.0008173294	134.5781
0.0008373374	135.8603
0.000880701	137.5506
0.0008273334	138.0751
0.0008406753	138.9494
0.0008306617	139.9985
0.0008540267	141.0476
0.0008073158	141.5722
0.0008907051	143.6121
0.000880701	144.8944
0.000914051	146.468
0.0009107227	148.0417
0.0009640903	149.7903
0.0009107227	150.0817
0.000914051	150.5479
0.0009173889	150.8394
0.000914051	150.1982
0.0008740348	148.6828
0.0009240551	148.916
0.0009240551	149.2657
0.0009207172	149.732
0.0009407253	150.14
0.0009607429	150.7811
0.0009274025	150.4314
0.0009107227	150.9559
0.0009274025	151.7719
0.0009207172	152.2382
0.0009073848	152.2382
0.0009474105	153.4622
0.0009640903	154.2198
0.0009540767	155.0358
0.0009840984	156.1432
0.001007444	157.7169
0.0009840984	158.1249
0.0009607429	159.174
0.0009940929	160.1648
0.0009740848	161.0391
0.0009640903	161.6802
0.001024115	163.8367
0.001034119	165.1773
0.001034119	166.4012
0.001060812	167.6252
0.001084158	169.1406
0.001054127	169.1406
0.001040794	168.616
0.001034119	168.2663
0.001047461	168.6743
0.001007444	168.8492
0.001074135	170.656
0.001080811	171.8799
0.001087486	172.6376
0.001094152	173.5702
0.001144182	174.8524
0.001084158	174.6776
0.001087486	175.3187
0.001094152	175.7267
0.001084158	176.1347
0.001070806	176.3095
0.001117508	177.7666
0.001134178	179.1072
0.001134178	179.9814
0.001150848	180.914
0.00118087	182.0797
0.001144182	182.3128
0.001144182	183.0705
0.00114752	184.4693
0.001160862	185.1687
0.001110832	185.0522
0.001194221	186.9755
0.001177542	187.8498
0.00121423	188.8989
0.001190874	189.8897
0.00124757	191.2303
0.00119755	190.764
0.001187546	190.5309
0.001204216	190.7057
