"Napatie"	"deformácia"
537.2866	0.0507266142857143
537.8523	0.0513064428571429
539.2664	0.05190065
539.8321	0.0524685642857143
541.2934	0.0530580071428571
542.1419	0.0536521428571429
543.4618	0.0542630428571429
544.546	0.0549097
545.3474	0.0555325142857143
546.2901	0.0561648714285714
547.1386	0.0567780857142857
547.7514	0.0573913642857143
548.8356	0.0579974928571429
549.637	0.0585987857142857
550.8625	0.0592287571428571
551.4753	0.0598444214285714
552.2296	0.0604791571428571
553.0781	0.0610852857142857
553.8323	0.0617176428571429
554.2899	0.0623595285714286
554.9782	0.0630324142857143
555.5365	0.0636982142857143
556.3991	0.0643329571428572
556.9968	0.06498915
557.7258	0.0656262714285714
558.3127	0.0663039928571429
559.1682	0.0669864142857143
560.2795	0.06764745
560.9678	0.0683227214285714
