"epsilon"	"Sigma"
6.1887139E-006	8.7755830214968
1.6423124E-006	8.9926160429936
6.8496445E-006	9.2404033290207
1.1636384E-005	9.4659381319666
1.6823688E-006	9.74973125
2.3432994E-006	9.9917679538217
4.9269372E-006	10.237555209992
1.9166988E-005	10.505095934514
1.5281517E-005	10.805141446059
1.179661E-005	11.035426154459
2.3573192E-005	11.303966893909
2.1610428E-005	11.587010166202
1.5441742E-005	11.879054234674
1.7164168E-005	12.176599377986
2.0548933E-005	12.481396118631
2.9962187E-005	12.781191460987
1.8966706E-005	13.078736604299
2.4434404E-005	13.384033021497
2.3953727E-005	13.702081449045
2.6697591E-005	14.025380120422
2.9321285E-005	14.354180528463
2.8700411E-005	14.70598392715
2.7839198E-005	15.056286972532
3.0082357E-005	15.374835738455
3.7372622E-005	15.71488714172
3.2305487E-005	16.07544182922
4.0156541E-005	16.413993541003
3.7452734E-005	16.777798442476
3.8854708E-005	17.151105140326
4.1959079E-005	17.497907802548
5.0310839E-005	17.876715575239
4.6425368E-005	18.256023024482
4.6986158E-005	18.649082499005
4.3881787E-005	19.051893939092
5.0831572E-005	19.466706881967
5.6519581E-005	19.841263763933
5.8242006E-005	20.266578518113
5.8001668E-005	20.691392933917
6.1847082E-005	21.080952025279
6.1186152E-005	21.511017346736
5.7220568E-005	21.932581548567
6.3569507E-005	22.340643232484
7.4865412E-005	22.773709260549
6.7134527E-005	23.208025472731
7.2081492E-005	23.643091530653
6.8816896E-005	24.091409275478
6.8937065E-005	24.545228095143
8.8484588E-005	24.999797422373
8.079376E-005	25.465867914013
8.2275846E-005	25.948941306728
8.1935367E-005	26.412011753583
9.4352851E-005	26.866330911624
9.0046788E-005	27.351904672572
8.702253E-005	27.828727144705
8.8785011E-005	28.291297253185
8.980645E-005	28.75436770004
0.00010462732	29.261945098527
9.8638886E-005	29.721014823846
9.7617448E-005	30.196336942675
0.0001018434	30.697662758758
9.7537335E-005	31.17823578324
0.00011181744	31.668810280653
0.00011436102	32.169136743631
0.00011349981	32.648709091361
0.00010911363	33.136283543989
0.00011574297	33.615606384355
0.00011656413	34.108431080812
0.00012169134	34.596505209992
0.00011774579	35.093330627986
0.00012545665	35.60290805633
0.00012914183	36.110734962182
0.00012786003	36.580056329618
0.00013569106	37.072881026075
0.00012840079	37.595210464769
0.00013833478	38.090286022094
0.00013829472	38.632118068272
0.0001441029	39.142695511545
0.00014386256	39.641521621218
0.00014522448	40.17410270203
0.00014758781	40.694681618232
0.00015233449	41.197757956807
0.00015225438	41.729338360868
0.00015135311	42.268920869825
0.00015916411	42.789749955215
0.00015253477	43.310078702229
0.00015938442	43.85641180832
0.0001678964	44.361238669387
0.00016343011	44.890819043591
0.00016613392	45.41614852707
0.00016951869	45.944478717158
0.00017252292	46.488311455016
0.00017881177	47.026392948846
0.00017636833	47.579477313893
0.00017432545	48.124810405056
0.00018069442	48.632637310908
0.00018908624	49.189222059116
0.00018844534	49.694298427548
0.00018818497	50.224629309315
0.00019413334	50.773462121815
0.00019751811	51.288790794188
0.00019293165	51.857126875995
0.00019503461	52.400209768113
0.00019739794	52.919038161823
0.00020586987	53.471372019307
0.00020390711	54.032957503981
0.00020833334	54.580540794188
0.00021958919	55.109870999204
0.00020935478	55.659704488455
0.00021650484	56.235791844148
0.0002166851	56.795377298965
0.0002226535	57.339959882564
0.00022415562	57.933799985072
0.00022203263	58.503636420183
0.00021826733	59.097476522691
0.0002345102	59.657061977508
0.00023533135	60.231398810709
0.00023767465	60.809486858081
0.0002395573	61.388324751194
0.00023677338	61.986915420979
0.00024700779	62.552501627189
0.00024572599	63.120837708997
0.00024822951	63.723179592954
0.00025423797	64.295766565486
0.00025149411	64.839848810709
0.00025630088	65.451192152667
0.0002605068	66.035780627986
0.00026262979	66.596864450637
0.00027384558	67.18695267715
0.00026537365	67.792547422373
0.000277691	68.357883459395
0.00027498719	68.95722397492
0.00027701004	69.495809116242
0.00028502132	70.126400925557
0.00027807153	70.694238654459
0.00028167661	71.287080065685
0.00029297251	71.852164609873
0.00029263203	72.430750348328
0.0002938137	73.03884678543
0.00030036292	73.59567839371
0.00028776518	74.183516421178
0.00030372766	74.775106986465
0.00030130424	75.345446407245
0.00031490339	75.929531896895
0.00031109803	76.538124701433
0.00030811383	77.092209743232
0.00030981623	77.648796476911
0.00031894909	78.239387689092
0.00031231975	78.835227159634
0.00031977024	79.397062151672
0.00031922948	79.976395750398
0.00032770141	80.594240843949
0.00032754119	81.17057638336
0.00032533808	81.711914709395
0.00033196742	82.322506220143
0.00034092002	82.907094695462
0.00034256234	83.474932424363
0.00034063963	84.046264580016
0.00034031918	84.634354100318
0.00034953215	85.212946457006
0.00034648786	85.764774681529
0.00034298293	86.328112012341
0.00035377813	86.895698248408
0.0003550399	87.467037022293
0.00036257051	88.046125746417
0.00036162918	88.592454219745
0.00036291099	89.154044337182
0.00037292509	89.733133061306
0.00036903962	90.283465565287
0.00037342579	90.865552348726
